Name,Quantity,Component
"U1",1," Arduino Uno R3"
"PING1",1," Ultrasonic Distance Sensor"
"PIEZO1, PIEZO2, PIEZO3",3," Piezo"
"R1",1," Photoresistor"
"R3",1,"550 Ω Resistor"
"D2, D6, D7, D8",4,"Red LED"
"R5, R4, R7, R9, R11, R13",6,"220 Ω Resistor"
"GAS1",1," Gas Sensor"
"R2",1,"4.7 kΩ Resistor"
"D3",1,"Yellow LED"
"D4",1,"Green LED"
"D5",1,"Orange LED"
"PIR2",1,"-42.30444570570535 , -148.87808574764898 , -198.26094384224197  PIR Sensor"
"R6",1,"1 kΩ Resistor"
"U2",1," Temperature Sensor [TMP36]"
"Meter2",1,"Voltage Multimeter"
"R8",1,"1 Ω Resistor"
